,question,questiontype,keyword
106,"(what,PRON) (are,VERB) (the,DET) (airlines,NOUN) (whose,PRON) (hub,NOUN) (airport,NOUN) (is,VERB) (operated,VERB) (by,ADP) (the,DET) (los,PROPN,B-ORG)  (angeles,PROPN,I-ORG)  (world,PROPN,I-ORG)  (airports,PROPN,E-ORG)  (?,.)",WHAT,"AIRLINES, HUB, AIRPORT, LOS ANGELES, WORLD"
107,"(what,PRON) (are,VERB) (the,DET) (airlines,NOUN) (whose,PRON) (hub,NOUN) (airport,NOUN) (is,VERB) (operated,VERB) (by,ADP) (the,DET) (los,PROPN,B-ORG)  (angeles,PROPN,I-ORG)  (world,PROPN,I-ORG)  (airports,PROPN,E-ORG)  (?,.)",what,"airlines, whose, hub, airport, operated, los angles, world, airports"
108,"(name,VERB) (the,DET) (television,NOUN) (show,NOUN) (whose,PRON) (creator,NOUN) (is,VERB) (simon,PROPN,B-PER)  (fuller,PROPN,E-PER)  (and,CCONJ) (presented,VERB) (by,ADP) (ryan,PROPN,B-PER)  (seacrest,PROPN,E-PER)  (?,.)",whose,"simon fuller,ryan seacrest"
109,"(name,VERB) (the,DET) (television,NOUN) (show,NOUN) (whose,PRON) (creator,NOUN) (is,VERB) (simon,PROPN,B-PER)  (fuller,PROPN,E-PER)  (and,CCONJ) (presented,VERB) (by,ADP) (ryan,PROPN,B-PER)  (seacrest,PROPN,E-PER)  (?,.)",who,"show,creator,Simon Fuller,Ryan Seacrest,"
110,"(name,VERB) (the,DET) (office,NOUN) (holder,NOUN) (whose,PRON) (child,NOUN) (is,VERB) (lori,PROPN,B-PER)  (black,PROPN,E-PER)  (and,CCONJ) (predecessor,NOUN) (is,VERB) (henry,PROPN,B-PER)  (e.,PROPN,I-PER)  (catto,PROPN,I-PER)  (jr,PROPN,E-PER)  (?,.)",Who/name,"office holder, child, Lori Black, predecessor, Henry E. Catto Jr"
111,"(name,VERB) (the,DET) (office,NOUN) (holder,NOUN) (whose,PRON) (child,NOUN) (is,VERB) (lori,PROPN,B-PER)  (black,PROPN,E-PER)  (and,CCONJ) (predecessor,NOUN) (is,VERB) (henry,PROPN,B-PER)  (e.,PROPN,I-PER)  (catto,PROPN,I-PER)  (jr,PROPN,E-PER)  (?,.)",Name,"office holder, child, Lori Black, predecessor, Henry E. Catto Jr"
112,"(when,ADV) (did,VERB) (martin,PROPN) (luther,PROPN) (king,X) (jr,X) (marries,X) (coretta,X) (scott,X) (?,.)",When,"martin luther king jr, marries, coretta scott, when"
113,"(when,ADV) (did,VERB) (martin,PROPN) (luther,PROPN) (king,X) (jr,X) (marries,X) (coretta,X) (scott,X) (?,.)",When,"Martin Luther King Jr, marry, Corretta Scott"
114,"(what,PRON) (is,VERB) (the,DET) (highest,ADJ) (mountain,NOUN) (in,ADP) (italy,PROPN,S-LOC)  (?,.)",what,"highest ,mountain ,italy"
115,"(what,PRON) (is,VERB) (the,DET) (highest,ADJ) (mountain,NOUN) (in,ADP) (italy,PROPN,S-LOC)  (?,.)",what,"highest,mountain,italy"
116,"(which,PRON) (televion,NOUN) (show's,NOUN) (theme,NOUN) (music,NOUN) (was,VERB) (given,VERB) (by,ADP) (ron,PROPN,B-PER)  (grainer,PROPN,E-PER)  (and,CCONJ) (is,VERB) (broadcasted,VERB) (by,ADP) (bbc,PROPN,B-ORG)  (hd,PROPN,E-ORG)  (?,.)",WHICH,"RON GRAINER, BBC HD"
117,"(which,PRON) (televion,NOUN) (show's,NOUN) (theme,NOUN) (music,NOUN) (was,VERB) (given,VERB) (by,ADP) (ron,PROPN,B-PER)  (grainer,PROPN,E-PER)  (and,CCONJ) (is,VERB) (broadcasted,VERB) (by,ADP) (bbc,PROPN,B-ORG)  (hd,PROPN,E-ORG)  (?,.)",which,"Television, ron grainer, BBC HD, broadcasted"
118,"(how,ADV) (many,ADJ) (children,NOUN) (did,VERB) (bob,NOUN) (marley,NOUN) (have,VERB) (?,.)",HOW MANY,"CHILDREN, BOB MARLEY"
119,"(how,ADV) (many,ADJ) (children,NOUN) (did,VERB) (bob,NOUN) (marley,NOUN) (have,VERB) (?,.)",how many,"children ,bob marley"
120,"(in,ADP) (how,ADV) (many,ADJ) (places,NOUN) (has,VERB) (garbage,PROPN) (recorded,VERB) (their,PRON) (songs,NOUN) (?,.)",how many,"garbage, recorded, songs"
121,"(in,ADP) (how,ADV) (many,ADJ) (places,NOUN) (has,VERB) (garbage,PROPN) (recorded,VERB) (their,PRON) (songs,NOUN) (?,.)",How many,"places, Garbage, recorded, songs"
122,"(name,VERB) (a,DET) (person,NOUN) (who,PRON) (was,VERB) (educated,VERB) (in,ADP) (humes,PROPN,B-LOC)  (high,PROPN,I-LOC)  (school,PROPN,E-LOC)  (?,.)",Name,"person, educated, Humes High School"
123,"(name,VERB) (a,DET) (person,NOUN) (who,PRON) (was,VERB) (educated,VERB) (in,ADP) (humes,PROPN,B-LOC)  (high,PROPN,I-LOC)  (school,PROPN,E-LOC)  (?,.)",Name,"person, educated, Humes High School"
124,"(how,ADV) (old,ADJ) (is,VERB) (rod,PROPN) (morgenstein,PROPN) (?,.)",Age,"old, rod morgenstein"
125,"(how,ADV) (old,ADJ) (is,VERB) (rod,PROPN) (morgenstein,PROPN) (?,.)",HOW,"ROD, MORGENSTEIN"
